Cnt,Particle,Generation,Kpx,Kpa,Kda,MaxAngle, Overshoot, J
1,1,1,25.750825,14.49548,1.174089,14.921901,17.677689,49.708536
2,2,1,17.175673,0,0.832464,3.872578,0,2827.490817
3,3,1,46.853386,79.124555,2,22.104901,17.404832,67.732758
4,4,1,6.301818,81.433418,1.433796,6.130599,43.081618,76.943598
5,5,1,32.044981,19.935368,1.198656,17.643609,17.809006,55.111613
6,6,1,100,100,1.67528,22.104901,17.158722,86.925335
7,7,1,0,59.169039,0.884656,1.420187,0,3615.032348
8,8,1,0,45.546131,0,1.598696,0,3583.12931
9,9,1,0,100,0,2.116392,0,3577.452106
10,10,1,35.836829,100,2,22.104901,18.323072,65.732195
11,11,1,82.342564,64.207618,0,22.104901,17.013858,83.327162
12,12,1,0,0,0,0.055351,0,3608.188443
13,13,1,100,25.867905,0.368588,22.104901,17.902179,89.591194
14,14,1,80.362321,100,2,22.104901,17.294851,77.610498
15,15,1,0,0,2,0.633945,0,3629.533847
16,16,1,100,89.497672,0,22.104901,15.259645,82.682811
17,17,1,100,0,0.401738,6.130599,0,3183.762315
18,18,1,28.727522,100,0.502633,20.788804,25.198203,69.346341
19,19,1,6.019782,100,2,6.130599,40.232465,78.626493
20,20,1,25.994966,38.148342,0,19.761602,25.018545,70.325985
21,21,1,75.867609,50.421606,1.786706,22.104901,17.890996,78.478928
22,22,1,86.451206,0,2,6.130599,0,3079.436586
23,23,1,0,45.428831,0.235075,1.781978,0,3576.005873
24,24,1,100,0,0,0.055351,0,3608.188443
25,25,1,100,0,0.492137,6.130599,0,3117.579263
26,26,1,6.657797,98.164034,0.113806,7.286218,27.804258,80.388883
27,27,1,0,0,0,0.055351,0,3608.188443
28,28,1,29.581939,100,2,19.761602,23.263725,64.593006
29,29,1,0,100,0.707495,1.839034,0,3643.741176
30,30,1,48.864476,50.126917,0.642741,22.104901,18.655095,71.910474
31,31,1,18.847491,0,0.484699,3.872578,0,3358.57858
32,32,1,0,51.331386,0,2.8334,0,3428.180876
33,33,1,0,83.519341,0,2.129801,0,3576.862839
34,34,1,93.915516,100,2,22.104901,17.430868,87.890703
35,35,1,0,85.631442,0,2.128083,0,3576.938354
36,36,1,100,82.6376,1.513303,22.104901,17.842932,88.727376
37,37,1,100,50.03369,2,22.104901,18.240371,89.216009
38,38,1,66.976837,11.423259,2,22.104901,9.082304,52.666928
39,39,1,48.985461,100,0.776504,22.104901,19.431331,71.875414
40,40,1,37.224592,0,1.665397,4.986197,0,3336.332545
41,41,1,0,0,0,0.055351,0,3608.188443
42,42,1,100,0,2,6.130599,0,3194.837068
43,43,1,48.453104,0,2,4.986197,0,3267.993734
44,44,1,81.201562,95.80124,2,22.104901,18.48619,82.934909
45,45,1,20.470755,100,0,16.78556,25.676349,66.835688
46,46,1,16.244764,0,1.788718,3.889806,0,3152.315218
47,47,1,76.269659,60.418407,0,22.104901,17.461442,78.610953
48,48,1,83.968439,59.746926,0.40811,22.104901,18.205313,84.424498
49,49,1,41.644648,81.309355,0.4272,22.104901,16.812702,68.539228
50,50,1,41.772546,42.326729,0.070988,22.104901,17.087665,69.901894
51,51,1,100,72.421966,0,22.104901,15.331388,81.200136
52,52,1,0,0,1.519469,0.615606,0,3628.561759
53,53,1,100,81.153066,0,22.104901,15.294705,81.739134
54,54,1,100,0,1.407087,6.130599,0,3253.902436
55,55,1,81.421626,100,0.743784,22.104901,18.573024,85.016371
56,56,1,0,8.507372,1.755744,0.631277,0,3629.399373
57,57,1,0,0.237066,1.492205,0.619046,0,3627.762451
58,58,1,59.752901,0,1.626553,4.986197,0,3308.850459
59,59,1,73.578722,0,0,0.055351,0,3608.188443
60,60,1,0,23.718321,0,2.72712,0,3677.422537
61,61,1,71.051244,44.695399,0.795902,22.104901,19.451345,80.308327
62,62,1,0,100,1.424439,1.412711,0,3626.641292
63,63,1,59.336128,100,1.43678,22.104901,17.643842,72.41904
64,64,1,49.313971,0,1.216685,4.986197,0,3101.82695
65,65,1,100,78.709073,2,22.104901,17.103124,87.859412
66,66,1,100,0,1.662234,6.130599,0,3212.71077
67,67,1,100,0,2,6.130599,0,3194.837068
68,68,1,100,97.460819,1.889755,22.104901,17.242184,89.04884
69,69,1,0,100,0.330954,2.105879,0,3578.04382
70,0,2,58.653484,36.889723,0,22.104901,16.431032,75.335401
71,1,2,0,100,1.662308,1.41245,0,3627.070087
72,2,2,56.108677,100,1.068864,22.104901,18.643878,74.941773
73,3,2,92.915029,100,0.22742,22.104901,16.265442,82.394516
74,4,2,8.895561,81.429316,1.345242,8.476789,49.16509,80.507389
75,5,2,45.115037,24.632253,1.046027,22.104901,18.560661,66.109157
76,6,2,45.474033,89.213039,1.548747,22.104901,18.874924,70.352212
77,7,2,68.070106,23.406213,0.915054,22.104901,17.363746,71.523036
78,8,2,35.694656,14.795278,0.584199,21.826824,20.11356,61.399892
79,9,2,32.368282,0,0.195389,4.402899,0,3098.689472
80,10,2,0,13.464744,0.034432,2.257092,0,3684.450397
81,11,2,66.574164,0,0.553677,4.986197,0,3156.203979
82,12,2,0,0,0,0.055351,0,3608.188443
83,13,2,97.05209,0,0.166962,6.130599,0,3175.549433
84,14,2,88.564668,74.324779,1.863955,22.104901,18.024295,80.250142
85,15,2,100,49.879313,1.576039,22.104901,17.753422,88.779184
86,16,2,0,0,0.840535,0.768941,0,3625.622373
87,17,2,0,21.766227,0.069345,1.686007,0,3605.647444
88,18,2,31.940154,98.770849,0.469577,21.827432,22.27016,68.858787
89,19,2,0.080139,7.880946,0,2.55628,0,1969.784006
90,20,2,0,0,0.992335,0.783293,0,3626.238731
91,21,2,0,22.654738,1.980847,0.649568,0,3630.322941
92,22,2,0,1.965278,1.649079,0.622727,0,3628.968935
93,23,2,2.890763,31.989131,0,4.500607,15.48779,92.044704
94,24,2,100,0,0,0.055351,0,3608.188443
95,25,2,23.828172,87.186337,0.145904,18.430854,24.245495,65.276668
96,26,2,100,0,0,0.055351,0,3608.188443
97,27,2,0,0,0,0.055351,0,3608.188443
98,28,2,77.596221,35.373068,1.738631,22.104901,16.771699,73.413212
99,29,2,42.133694,26.123337,0.989067,22.104901,18.098261,64.311559
100,30,2,40.944417,54.097884,0,22.104901,16.877296,71.191681
101,31,2,0,13.82347,0.34436,1.059567,0,3622.743426
102,32,2,100,73.014238,0.42167,22.104901,17.662618,88.397718
103,33,2,100,0,0.401249,6.130599,0,3164.168876
104,34,2,85.87944,0,0,0.055351,0,3608.188443
105,35,2,2.723409,0,0.01646,1.051397,0,3537.798168
106,36,2,0,0,2,0.633945,0,3629.533847
107,37,2,99.441298,37.358621,0,22.104901,15.526773,82.342187
108,38,2,70.436651,29.882675,0.433554,22.104901,18.909532,83.348276
109,39,2,0,75.119325,0,2.136636,0,3576.562514
110,40,2,0,56.531998,0,2.753866,0,3709.670789
111,41,2,0,0,0,0.055351,0,3608.188443
112,42,2,19.386616,88.175586,0.38112,15.912678,25.464184,66.592845
113,43,2,27.873052,10.098551,0.193225,19.135796,23.24187,64.756939
114,44,2,92.328078,5.415414,0,22.104901,15.867343,81.698693
115,45,2,16.024945,12.750997,0.17974,13.002718,24.900794,62.65191
