Kpx,Kpa,Kda,MaxAngle, Overshoot, J
0.000000,59.169039,0.884656,0.175034,0.000000,3500.525819
0.080139,7.880946,0.000000,0.223908,0.000000,2050.404324
0.111699,7.122207,0.000000,0.233420,0.000000,1677.995399
0.163037,6.063085,0.000000,0.255820,0.000000,1214.103567
0.171931,0.000000,0.137329,0.809015,0.000000,1087.438712
0.178955,0.000000,0.079674,0.966711,0.000000,1039.735911
0.227661,0.000000,0.000000,1.702899,0.000000,779.377199
0.268405,0.000000,0.200283,0.929578,0.000000,604.780483
0.465706,0.000000,0.088113,1.668201,0.000000,235.290191
0.781132,0.000000,0.097395,2.265885,0.000000,111.617142
1.128101,0.000000,0.107606,2.795127,1.862993,92.361204
1.020632,0.000000,0.038859,3.549421,0.000000,84.976215
1.106358,0.365230,0.039586,1.575687,0.000000,73.328617
1.469635,0.099350,0.013609,3.970486,0.000000,57.194671
1.942493,0.309831,0.041534,2.022343,3.933869,48.972569
1.968472,0.227472,0.000000,4.397751,1.146058,44.878059
2.767596,0.193900,0.000000,5.587024,7.646252,40.765326
2.460646,0.181529,0.000000,5.500535,3.454323,39.806740
2.821047,0.149109,0.006734,4.532913,4.626097,37.019818
2.504534,0.099194,0.000353,7.742225,0.019198,36.263494
3.049901,0.116482,0.017750,4.315100,3.775542,34.488184
2.807213,0.108325,0.001289,7.327527,1.203622,34.200831
3.259713,0.071766,0.017579,5.563877,0.059596,31.468674
3.338777,0.079697,0.014867,5.524568,1.245397,31.181084
3.523733,0.075982,0.007498,6.518174,2.233321,30.619499
3.333344,0.068421,0.006048,7.036874,0.332398,30.553248
3.513844,0.066924,0.013443,6.188511,0.427831,30.120979
3.540674,0.064721,0.009244,6.777670,0.446209,29.837540
3.705983,0.050691,0.010397,7.412070,0.041370,29.626483
3.558148,0.059008,0.005453,7.885771,0.251965,29.561394
3.710264,0.056760,0.011198,6.979146,0.046529,29.405288
3.728392,0.058624,0.010097,7.014097,0.473684,29.238765
3.804273,0.056751,0.010997,7.058402,0.594301,29.222123
3.694119,0.057950,0.008102,7.420671,0.303723,29.198461
3.697125,0.054107,0.007537,7.774404,0.036142,29.161131
3.867342,0.058175,0.008798,7.361856,1.458728,29.101014
3.766285,0.055792,0.007594,7.697752,0.364158,28.968053
3.866155,0.057773,0.006324,7.922596,1.447351,28.963767
3.909795,0.051412,0.008486,7.855668,0.090859,28.703719
3.897334,0.051918,0.008360,7.846169,0.170432,28.697482
3.891725,0.051696,0.007768,7.994577,0.183541,28.643594
3.980460,0.051896,0.008028,7.970526,0.685193,28.632163
3.942195,0.051807,0.007941,7.975618,0.454609,28.621809
3.966994,0.051637,0.008035,7.978537,0.531034,28.620884
3.933501,0.051431,0.007989,7.984469,0.307383,28.619336
3.967310,0.051632,0.008014,7.984113,0.534733,28.618504
3.937365,0.051526,0.007906,7.999845,0.365356,28.610989
3.953269,0.051468,0.007969,7.997649,0.423478,28.609771
3.960423,0.051489,0.007975,7.998883,0.464291,28.609705
3.962714,0.051486,0.007977,7.999840,0.474671,28.609527
3.962943,0.051486,0.007978,7.999935,0.475708,28.609509
3.962966,0.051486,0.007978,7.999945,0.475811,28.609508
3.962971,0.051486,0.007978,7.999947,0.475832,28.609507
3.962371,0.051482,0.007978,7.999905,0.471813,28.609432
3.956546,0.051470,0.007970,7.999324,0.440647,28.609108
3.951698,0.051390,0.007978,7.999907,0.394079,28.608670
3.951773,0.051390,0.007978,7.999899,0.394601,28.608669
3.951981,0.051391,0.007978,7.999976,0.395860,28.608625
3.951890,0.051389,0.007979,7.999991,0.394799,28.608621
3.952051,0.051390,0.007979,7.999980,0.395814,28.608619
3.952083,0.051390,0.007979,7.999994,0.396087,28.608611
3.952085,0.051390,0.007979,7.999996,0.396102,28.608610
3.952093,0.051390,0.007979,7.999999,0.396122,28.608609
3.952586,0.051387,0.007981,7.999972,0.397557,28.608592
3.952592,0.051387,0.007981,7.999978,0.397580,28.608590
3.952593,0.051387,0.007981,7.999979,0.397583,28.608589
3.952593,0.051387,0.007981,7.999979,0.397583,28.608589
3.952593,0.051387,0.007981,7.999979,0.397583,28.608589
3.952593,0.051387,0.007981,7.999979,0.397583,28.608589
3.952593,0.051387,0.007981,7.999979,0.397583,28.608589
3.952593,0.051387,0.007981,7.999979,0.397583,28.608589
3.952593,0.051387,0.007981,7.999979,0.397583,28.608589
3.952714,0.051389,0.007980,7.999989,0.398823,28.608582
3.952647,0.051387,0.007981,7.999994,0.397704,28.608581
3.952721,0.051389,0.007980,7.999999,0.398841,28.608576
