Kpx,Kpa,Kda,MaxAngle, Overshoot, J
81.472369,27.602508,0.324365,22.104901,18.956872,84.175691
90.579194,67.970268,1.588569,22.104901,17.849776,85.818192
12.698682,65.509800,0.622430,10.742832,28.081586,66.193725
91.337586,16.261174,1.057066,22.104901,16.158269,74.096154
63.235925,11.899768,0.331297,22.104901,19.374226,74.231932
9.754040,49.836405,1.203964,8.476789,32.859644,65.163828
27.849822,95.974396,0.525943,20.320214,24.557048,68.023677
54.688152,34.038573,1.308158,22.104901,18.547589,68.427751
95.750684,58.526775,1.378429,22.104901,17.381516,86.980793
96.488854,22.381194,1.496303,22.104901,15.995560,75.544324
15.761308,75.126706,0.901083,13.002718,25.799007,62.225060
97.059278,25.509512,0.167643,22.104901,17.682460,87.943864
95.716695,50.595705,0.457954,22.104901,17.744961,84.862285
48.537565,69.907672,1.826675,22.104901,17.975060,69.340548
80.028047,89.090325,0.304756,22.104901,16.779777,79.188451
14.188634,95.929143,1.651634,11.871692,31.793120,63.955859
42.176128,54.721553,1.076685,22.104901,17.388371,67.037410
91.573553,13.862444,1.992269,22.104901,10.664250,55.976921
79.220733,14.929401,0.156351,22.104901,18.303780,81.609588
95.949243,25.750825,0.885357,22.104901,18.185522,83.290969
65.574070,84.071726,0.213306,22.104901,17.636624,74.943847
3.571168,25.428218,1.923796,2.817893,3.950141,73.033473
84.912931,81.428483,0.009268,22.104901,16.871523,81.070236
93.399325,24.352497,1.549821,22.104901,16.708592,75.580429
67.873515,92.926362,1.634606,22.104901,17.551441,75.290498
75.774013,34.998377,1.737389,22.104901,17.294988,75.546602
74.313247,19.659525,0.168872,22.104901,18.325804,78.794186
39.222702,25.108386,0.799565,22.104901,18.582860,64.044837
65.547789,61.604468,0.519741,22.104901,18.246494,77.679209
17.118669,47.328885,1.600137,11.871692,27.073544,61.710106
70.604609,35.165951,0.862828,22.104901,18.317744,77.241037
3.183285,83.082863,1.821295,3.872578,29.162742,77.518793
27.692298,58.526409,0.363694,20.320214,25.092448,68.092720
4.617139,54.972361,0.527606,4.986197,31.299692,80.848588
9.713178,91.719366,0.291078,9.617189,37.531205,74.892421
82.345783,28.583902,0.272137,22.104901,18.403314,84.796636
69.482862,75.720023,1.738584,22.104901,19.025350,78.254571
31.709948,75.372909,1.159409,21.212890,24.666379,68.022709
95.022205,38.044585,1.099720,22.104901,17.617706,83.872478
3.444608,56.782164,0.289910,4.986197,22.520612,84.469791
43.874436,7.585429,1.706062,15.457426,3.863404,43.205459
38.155846,5.395012,1.244110,12.884755,1.726571,41.344242
76.551679,53.079755,0.701905,22.104901,18.683067,80.831115
79.519990,77.916723,1.026499,22.104901,18.589562,83.233159
18.687260,93.401068,0.803616,14.986921,25.376965,63.696730
48.976440,12.990621,0.151933,22.104901,19.035188,71.612900
44.558620,56.882366,0.479832,22.104901,19.050020,70.584666
64.631301,46.939064,0.246638,22.104901,18.246494,75.875986
70.936483,1.190207,0.367816,18.436886,2.411297,48.122781
75.468668,33.712264,0.479905,22.104901,18.879133,83.060403
63.271124,59.352496,2.000000,22.104901,18.107782,71.410283
0.000000,41.264332,1.794514,0.948467,0.000000,3637.176133
100.000000,100.000000,0.715428,22.104901,17.662618,90.690775
100.000000,23.482803,0.000000,22.104901,15.537007,80.812771
61.226025,0.000000,0.282448,4.986197,0.000000,3200.733006
7.389621,100.000000,1.749828,7.286218,46.924630,84.856294
0.000000,100.000000,1.314139,1.412832,0.000000,3626.442687
100.000000,45.072968,0.848425,22.104901,17.863413,90.012954
66.984975,85.471294,0.795150,22.104901,18.051494,76.972937
10.953460,41.531029,2.000000,7.566816,32.999492,62.473181
77.416763,10.830010,0.000000,22.104901,17.858607,81.190586
72.801822,0.000000,1.862382,4.986197,0.000000,3174.800558
38.888778,44.198842,2.000000,22.104901,16.801401,61.308604
27.398237,10.615068,2.000000,12.368514,3.642844,39.366745
0.000000,100.000000,0.000000,2.116392,0.000000,3577.452106
0.000000,28.777286,0.603867,1.340126,0.000000,3584.521137
