Kpx,Kpa,Kda,MaxAngle, Overshoot, J
0.000000,0.000000,0.000000,0.175034,0.000000,2864.036624
2.723409,0.000000,0.016460,1.142483,0.000000,2801.681900
3.907677,0.000000,0.017888,1.692115,0.000000,2768.313969
3.559401,0.000000,0.024456,1.757082,0.000000,2752.459914
4.130278,0.000000,0.022117,1.870169,0.000000,2749.919798
3.117744,0.000000,0.031645,1.731458,0.000000,2745.226494
3.918758,0.000000,0.025018,1.880610,0.000000,2744.925423
0.383665,0.013644,0.024499,0.251359,0.000000,2605.285340
1.405576,0.013649,0.028567,0.827775,0.000000,2041.917311
1.950401,0.018260,0.041076,1.379953,0.000000,1571.578498
2.311534,0.017866,0.026430,1.312896,0.000000,1458.060183
5.035287,0.015268,0.018990,2.166648,0.000000,933.103273
21.830951,0.014887,0.000000,2.246485,0.000000,260.639246
42.867022,0.019768,0.000000,5.595559,7.622936,107.365504
40.331737,0.021744,0.000000,5.734239,8.275296,103.150773
34.255260,0.027665,0.000000,6.018920,9.598202,93.777780
30.109491,0.030201,0.000000,5.714821,8.942843,93.361929
30.338313,0.031974,0.000000,6.036788,9.965323,89.411921
28.849644,0.033182,0.000000,5.926415,9.773641,89.043632
28.340580,0.033765,0.000000,5.908346,9.770203,88.674911
26.982536,0.035396,0.000000,5.855323,9.747571,87.749521
26.220696,0.036401,0.000000,5.826582,9.741650,87.204880
26.144512,0.036501,0.000000,5.823214,9.739722,87.156092
26.129275,0.036521,0.000000,5.822529,9.739307,87.146460
25.720381,0.037429,0.000000,5.849828,9.874224,86.276209
25.158606,0.038143,0.000000,5.813963,9.829702,86.041445
23.863109,0.040430,0.000000,5.787616,9.918332,84.694795
22.777006,0.042241,0.000000,5.727415,9.884359,84.029866
20.643622,0.046125,0.000000,5.576028,9.743720,83.080554
19.176227,0.049043,0.000000,5.440368,9.564571,82.838019
17.993377,0.053420,0.000000,5.453529,9.914058,80.400374
16.909986,0.056651,0.000000,5.360275,9.876654,79.807221
15.156161,0.062327,0.000000,5.158973,9.686272,79.503261
14.728611,0.064205,0.000000,5.122432,9.710466,79.105986
15.517518,0.061894,0.000000,5.252999,9.935614,78.569503
14.818914,0.064974,0.000000,5.195828,9.984925,77.864083
14.760862,0.065190,0.000000,5.187881,9.976841,77.863399
14.770504,0.065185,0.000000,5.190894,9.985256,77.830027
14.799151,0.065108,0.000000,5.196452,9.996051,77.798171
13.435191,0.071496,0.000000,5.042975,9.975818,76.999524
13.437460,0.071501,0.000000,5.044037,9.979225,76.984634
11.844585,0.080365,0.000218,4.836719,9.868009,76.417423
11.859319,0.080345,0.000208,4.842352,9.883290,76.356772
11.679857,0.081920,0.000141,4.839495,9.954454,75.946682
11.692850,0.081869,0.000154,4.841915,9.961208,75.913947
11.703448,0.081975,0.000200,4.847659,9.992733,75.740204
11.688866,0.082101,0.000191,4.847466,9.997769,75.712701
11.687408,0.082113,0.000190,4.847445,9.998270,75.709967
11.687262,0.082115,0.000190,4.847443,9.998320,75.709694
11.746683,0.081690,0.000381,4.842069,9.988327,75.687407
11.691658,0.082094,0.000270,4.843263,9.997379,75.672066
11.752433,0.081684,0.000406,4.842535,9.993536,75.652024
11.753008,0.081683,0.000408,4.842581,9.994056,75.648494
11.753066,0.081683,0.000409,4.842586,9.994108,75.648141
11.784912,0.081516,0.000524,4.841277,9.999147,75.581866
11.706111,0.082034,0.000449,4.835170,9.998444,75.579972
11.699763,0.082073,0.000467,4.832972,9.996900,75.574728
11.699129,0.082077,0.000469,4.832752,9.996745,75.574210
11.699065,0.082077,0.000469,4.832730,9.996730,75.574158
11.699052,0.082077,0.000469,4.832726,9.996726,75.574148
11.699047,0.082077,0.000469,4.832724,9.996725,75.574144
11.699043,0.082077,0.000469,4.832722,9.996724,75.574140
11.500858,0.083298,0.000644,4.788390,9.961420,75.552473
12.125041,0.079346,0.001089,4.852841,9.991652,75.542260
12.028080,0.079864,0.001378,4.817162,9.961102,75.522343
11.500770,0.083394,0.001202,4.753278,9.959976,75.319549
10.309557,0.092673,0.000990,4.583236,9.950626,74.865803
9.591184,0.099662,0.001759,4.402860,9.966406,74.230160
9.468509,0.100974,0.001844,4.379387,9.972982,74.126607
9.493061,0.100721,0.002292,4.369820,9.960400,74.078994
9.468662,0.101084,0.001835,4.382807,9.990237,74.044011
9.468712,0.101111,0.001833,4.383634,9.994413,74.023995
9.468717,0.101113,0.001833,4.383717,9.994830,74.021994
10.062940,0.095498,0.004516,4.533372,9.944218,73.956545
10.082821,0.095498,0.004323,4.536181,9.979201,73.821029
10.086409,0.095498,0.004279,4.536372,9.985760,73.796762
10.086768,0.095498,0.004275,4.536390,9.986416,73.794341
10.086804,0.095498,0.004274,4.536392,9.986481,73.794099
10.086808,0.095498,0.004274,4.536392,9.986488,73.794075
10.086808,0.095498,0.004274,4.536392,9.986489,73.794070
10.240301,0.094259,0.004801,4.586993,9.994195,73.754104
10.168608,0.094857,0.004644,4.566786,9.991645,73.753348
9.274394,0.103692,0.005536,4.391788,9.970607,73.382089
9.243374,0.104256,0.005892,4.385479,9.993685,73.212906
9.244886,0.104253,0.005901,4.386150,9.995457,73.203594
9.244904,0.104254,0.005900,4.386162,9.995642,73.202812
9.244930,0.104254,0.005900,4.386173,9.995710,73.202509
9.244933,0.104254,0.005900,4.386175,9.995717,73.202479
9.246697,0.104283,0.006079,4.389504,9.997261,73.173790
9.220045,0.104569,0.006179,4.385538,9.993768,73.169213
9.219989,0.104578,0.006193,4.385836,9.994581,73.163541
9.219984,0.104579,0.006194,4.385865,9.994662,73.162974
9.246972,0.104297,0.006100,4.390143,9.999251,73.161577
9.233714,0.104484,0.006620,4.393280,9.989773,73.143290
9.233213,0.104499,0.006643,4.393530,9.990400,73.137512
9.235216,0.104486,0.006377,4.391902,9.999811,73.122002
9.234400,0.104502,0.006533,4.393220,9.996170,73.121932
9.152431,0.105383,0.006778,4.378810,9.986340,73.112771
9.152623,0.105387,0.006768,4.378897,9.987470,73.108403
9.152642,0.105387,0.006767,4.378905,9.987583,73.107967
9.152644,0.105387,0.006767,4.378906,9.987595,73.107923
9.152644,0.105387,0.006767,4.378906,9.987596,73.107919
9.152644,0.105387,0.006767,4.378906,9.987596,73.107918
9.240227,0.104496,0.006745,4.397053,9.998096,73.091168
9.247590,0.104445,0.006829,4.399608,9.999810,73.076469
