Kpx,Kpa,Kda,MaxAngle, Overshoot, J
0.000000,0.000000,0.000000,0.175034,0.000000,4000.097874
0.173587,0.000000,0.000000,1.323292,0.000000,230.764179
0.235208,0.000000,0.000000,1.755768,0.000000,164.561299
0.493937,0.000000,0.000000,3.689886,0.000000,163.213110
0.425056,0.000000,0.000000,3.168743,0.000000,147.852099
0.364254,0.000000,0.000000,2.711476,0.000000,140.983122
0.358208,0.000000,0.000000,2.666155,0.000000,140.721515
2.228967,0.000000,0.057760,7.308086,4.434389,137.243616
2.032493,0.000000,0.071820,6.325705,5.837508,133.686820
1.098664,0.000000,0.036587,3.901303,0.041313,45.320289
0.977398,0.000000,0.034400,3.562313,0.032948,45.271084
1.027337,0.000000,0.037446,3.629886,0.038486,45.036493
3.946038,0.216330,0.045335,7.208690,1.056402,44.551672
3.536181,0.276145,0.060430,5.521795,3.356892,35.431767
1.290057,0.489745,0.000000,2.767455,0.118649,32.642223
2.056410,0.183288,0.068982,3.755309,0.089847,28.847444
1.883637,0.170523,0.057620,3.715578,0.078133,28.591176
1.915788,0.354766,0.073276,2.651743,0.136152,26.655250
1.983825,0.344887,0.070421,2.797898,0.129403,26.440304
2.896688,0.524360,0.063118,3.178719,9.040706,26.088544
2.629611,0.436750,0.070501,3.208308,4.271439,26.074370
2.812752,0.538528,0.025075,3.607959,8.255454,25.338589
2.660417,0.514618,0.029632,3.257458,6.592969,25.269533
2.652098,0.501767,0.013518,4.329579,6.055626,25.176123
2.498185,0.465577,0.014687,4.150206,4.139613,25.152783
2.520943,0.490241,0.014458,4.099618,4.938623,25.149601
2.531267,0.490596,0.014199,4.133617,5.014151,25.149010
2.532300,0.490632,0.014174,4.137029,5.021903,25.148987
2.536837,0.491695,0.014999,4.078949,5.084829,25.148207
2.518910,0.475757,0.016095,4.037985,4.533734,25.147853
2.521876,0.478402,0.014889,4.119273,4.621478,25.147525
2.518652,0.478154,0.015372,4.079830,4.595093,25.147351
2.537410,0.482230,0.015995,4.047194,4.832079,25.147078
2.526158,0.480193,0.015662,4.062119,4.701584,25.146972
2.526931,0.482612,0.015922,4.034494,4.774053,25.146970
2.527659,0.480601,0.015720,4.058582,4.722844,25.146939
2.537799,0.483074,0.015306,4.094310,4.855335,25.146918
2.527808,0.481101,0.015769,4.053230,4.737724,25.146917
2.528755,0.481027,0.015400,4.081770,4.740537,25.146901
2.532985,0.484527,0.015720,4.050561,4.865632,25.146861
2.533840,0.482415,0.015425,4.082097,4.811962,25.146841
2.530602,0.482726,0.015516,4.069134,4.799746,25.146810
2.531114,0.483006,0.015548,4.066424,4.810913,25.146805
2.531343,0.482928,0.015522,4.069030,4.810159,25.146804
2.531634,0.483338,0.015512,4.068463,4.823290,25.146803
2.531511,0.483051,0.015509,4.069714,4.814589,25.146803
2.531803,0.483355,0.015510,4.068795,4.824870,25.146802
2.532312,0.483052,0.015526,4.069732,4.819919,25.146801
2.532629,0.483519,0.015507,4.069617,4.834753,25.146800
2.532267,0.483296,0.015516,4.069340,4.826305,25.146800
2.532740,0.483435,0.015508,4.070125,4.833191,25.146799
2.532832,0.483443,0.015507,4.070255,4.834007,25.146799
2.532841,0.483444,0.015507,4.070268,4.834088,25.146799
2.532842,0.483444,0.015507,4.070269,4.834097,25.146799
2.532842,0.483444,0.015507,4.070270,4.834098,25.146799
2.532838,0.483439,0.015505,4.070444,4.833926,25.146799
2.532845,0.483435,0.015504,4.070523,4.833865,25.146799
