Kpx,Kpa,Kda,MaxAngle, Overshoot, J
0.000000,0.000000,0.000000,0.175034,0.000000,3500.525819
0.000000,0.000000,0.123110,0.327406,0.000000,3499.003135
0.000000,1.500595,0.010208,0.297874,0.000000,3482.157445
0.000000,1.658156,0.006382,0.597315,0.000000,3474.470482
0.000000,1.476514,0.000000,0.797762,0.000000,3472.454779
0.000000,1.569218,0.000000,1.941728,0.000000,3441.540830
0.381017,0.000000,0.031733,1.506040,0.000000,336.022822
0.800136,0.000000,0.050918,2.596695,0.000000,107.172273
1.261166,0.000000,0.072021,3.568912,0.000000,76.239253
1.455560,0.000000,0.081648,4.125378,1.637342,75.994638
1.433156,0.000000,0.039523,4.903778,0.000000,67.363059
1.581094,0.243794,0.098905,2.529774,0.000000,54.009284
2.742134,0.386224,0.079586,3.516534,3.274476,36.752373
2.897060,0.224252,0.056790,5.077662,0.057787,33.768026
3.496604,0.325671,0.028742,5.721926,4.693841,32.262467
3.320892,0.265439,0.036420,5.820835,1.214209,31.165778
3.876233,0.244829,0.058280,6.395991,3.502578,30.547206
3.807263,0.188505,0.042100,7.481960,0.043818,29.614089
3.820742,0.211395,0.049237,6.957208,0.301899,29.583481
3.888621,0.185844,0.041207,7.704820,0.042653,29.501861
3.947630,0.207866,0.030742,7.957797,0.716444,28.648811
3.949967,0.207508,0.030598,7.976612,0.705497,28.639094
3.952971,0.207753,0.030259,7.997808,0.740669,28.633608
3.974232,0.206438,0.031769,7.971963,0.665596,28.630312
3.951225,0.206547,0.030688,7.990064,0.645777,28.626801
3.974665,0.206390,0.031491,7.989984,0.672761,28.622845
3.970871,0.202918,0.032599,7.974485,0.380632,28.622007
3.977519,0.202182,0.032662,7.995340,0.343960,28.613813
3.978184,0.202108,0.032669,7.997426,0.340273,28.613024
3.978316,0.202093,0.032670,7.997843,0.339535,28.612868
3.978370,0.202087,0.032671,7.998010,0.339240,28.612806
3.978412,0.202083,0.032671,7.998144,0.339004,28.612756
3.952482,0.203033,0.031658,7.994331,0.387074,28.611287
3.950911,0.202453,0.031690,7.999164,0.345192,28.609959
3.954920,0.202874,0.031692,7.999591,0.380670,28.609060
3.954822,0.203154,0.031614,7.999363,0.401953,28.608899
3.954735,0.203101,0.031618,7.999846,0.398190,28.608702
3.954720,0.203088,0.031619,7.999956,0.397260,28.608657
3.954719,0.203087,0.031620,7.999967,0.397167,28.608653
3.954718,0.203087,0.031620,7.999968,0.397158,28.608652
3.954718,0.203087,0.031620,7.999969,0.397157,28.608652
3.954718,0.203087,0.031620,7.999969,0.397157,28.608652
3.954718,0.203087,0.031620,7.999969,0.397157,28.608652
3.954718,0.203087,0.031620,7.999969,0.397157,28.608652
3.954718,0.203087,0.031620,7.999969,0.397157,28.608652
3.954713,0.203084,0.031620,7.999972,0.396960,28.608652
3.954716,0.203084,0.031620,7.999973,0.396973,28.608652
3.954717,0.203084,0.031620,7.999973,0.396978,28.608652
3.954718,0.203084,0.031620,7.999974,0.396982,28.608651
3.954719,0.203084,0.031620,7.999974,0.396986,28.608651
3.954720,0.203084,0.031620,7.999974,0.396991,28.608651
3.954722,0.203084,0.031620,7.999975,0.396997,28.608651
3.954723,0.203085,0.031620,7.999975,0.397003,28.608651
3.954725,0.203085,0.031620,7.999976,0.397009,28.608650
3.954726,0.203085,0.031620,7.999977,0.397016,28.608650
3.954728,0.203085,0.031620,7.999977,0.397024,28.608650
3.954730,0.203085,0.031620,7.999978,0.397033,28.608649
