Kpx,Kpa,Kda,MaxAngle, Overshoot, J
0.000000,59.169039,0.884656,0.175034,0.000000,3488.029325
0.080139,7.880946,0.000000,0.223908,0.000000,2009.607594
0.111699,7.122207,0.000000,0.233420,0.000000,1630.840604
0.163037,6.063085,0.000000,0.255820,0.000000,1159.822124
0.171931,0.000000,0.137329,0.809015,0.000000,1027.151131
0.178955,0.000000,0.079674,0.966711,0.000000,978.696779
0.227661,0.000000,0.000000,1.702899,0.000000,716.679714
0.268405,0.000000,0.200283,0.929578,0.000000,538.534168
0.465706,0.000000,0.088113,1.668201,0.000000,173.179411
0.781132,0.000000,0.097395,2.265885,0.000000,65.167806
1.020632,0.000000,0.038859,3.549421,0.000000,52.487749
1.106358,0.365230,0.039586,1.575687,0.000000,42.292700
1.271948,0.099350,0.005463,4.562806,0.000000,37.785432
1.460022,0.053728,0.023834,4.138608,0.000000,37.145288
1.292134,0.178655,0.066345,2.169394,0.000000,36.926361
1.942493,0.309831,0.041534,2.022343,3.933869,32.398197
1.968472,0.227472,0.000000,4.397751,1.146058,30.642438
2.340786,0.260496,0.000000,4.400008,6.800951,30.106930
2.767596,0.193900,0.000000,5.587024,7.646252,29.183588
2.597044,0.187205,0.001537,5.126904,5.263398,28.930538
2.604616,0.150795,0.008739,4.039826,2.657945,28.915200
2.708567,0.152313,0.006247,4.554933,3.768267,28.884890
2.641169,0.183330,0.006832,4.050052,5.507050,28.780302
2.686398,0.178515,0.005297,4.428583,5.627225,28.762917
2.690229,0.176902,0.005754,4.352970,5.549352,28.761464
2.677158,0.176589,0.005332,4.440929,5.373823,28.759686
2.650331,0.172896,0.005812,4.373968,4.794885,28.757940
2.647734,0.175079,0.005894,4.330485,4.934372,28.757690
2.658563,0.174495,0.005547,4.413332,5.006744,28.757520
2.660219,0.174243,0.005719,4.381064,5.007555,28.757510
2.656703,0.174286,0.005568,4.410586,4.970123,28.757479
2.651553,0.175091,0.005602,4.391959,4.974850,28.757477
2.650099,0.174724,0.005621,4.391728,4.930685,28.757420
2.651251,0.174845,0.005631,4.388663,4.952975,28.757413
2.650252,0.174658,0.005643,4.387976,4.927588,28.757399
2.651810,0.174768,0.005641,4.387680,4.953367,28.757395
2.650548,0.174192,0.005704,4.381047,4.895714,28.757394
2.653467,0.174277,0.005727,4.376312,4.935101,28.757384
2.650767,0.174590,0.005687,4.379819,4.928521,28.757376
2.651665,0.174531,0.005699,4.378491,4.934139,28.757368
2.652283,0.174537,0.005673,4.383907,4.941272,28.757368
2.652610,0.174592,0.005679,4.382220,4.949218,28.757368
2.652460,0.174507,0.005689,4.381015,4.941132,28.757366
2.652537,0.174484,0.005692,4.380703,4.940253,28.757366
2.652560,0.174491,0.005691,4.380919,4.941008,28.757366
2.652818,0.174504,0.005690,4.381009,4.944904,28.757366
2.652719,0.174506,0.005690,4.381002,4.943913,28.757366
2.652717,0.174502,0.005690,4.380981,4.943598,28.757366
2.652717,0.174502,0.005690,4.380979,4.943566,28.757366
2.652714,0.174501,0.005691,4.380886,4.943518,28.757366
2.652701,0.174502,0.005691,4.380812,4.943446,28.757366
