Kpx,Kpa,Kda,MaxAngle, Overshoot, J
95.766624,0.000000,0.000000,0.175034,0.000000
608.157932,0.000000,0.000000,0.000745,0.176542,0.000000
608.157103,53.441926,0.000000,0.000589,1.704547,0.000000
604.839229,29.791970,0.000000,0.001236,1.879166,0.000000
601.259257,32.617036,0.000000,0.001951,3.052295,0.000000
598.260742,21.286172,0.000000,0.002521,2.460944,0.000000
596.310389,19.555707,0.000000,0.002754,2.427779,0.000000
595.748333,17.931367,0.000000,0.003465,2.657902,0.000000
593.410087,14.496597,0.000000,0.004113,2.442716,0.000000
592.755061,12.805372,0.000000,0.005082,2.519174,0.000000
590.758503,10.555973,0.000000,0.007457,2.656262,0.000000
587.231416,7.651213,0.000000,0.011039,2.530847,0.000000
584.811943,7.979805,0.000000,0.010984,2.596318,0.000000
584.368795,4.251601,0.000000,0.019153,2.064197,0.000000
583.694845,2.555051,0.000000,0.032278,1.718862,0.000000
582.500338,2.022023,0.000000,0.044891,1.573900,0.000000
580.410033,2.061500,0.000000,0.044640,1.592342,0.000000
580.186420,2.061180,0.000000,0.044704,1.592734,0.000000
580.162245,2.061148,0.000000,0.044710,1.592773,0.000000
580.159828,2.061145,0.000000,0.044711,1.592777,0.000000
580.159587,2.061145,0.000000,0.044711,1.592777,0.000000
580.159562,2.061145,0.000000,0.044711,1.592778,0.000000
580.159560,1.977979,0.000000,0.046512,1.563547,0.000000
580.122497,1.977191,0.000000,0.046543,1.563362,0.000000
580.116732,1.923252,0.000000,0.047806,1.543327,0.000000
580.088113,1.918361,0.000000,0.047995,1.541949,0.000000
580.057523,1.906452,0.000000,0.048316,1.537568,0.000000
580.039402,1.901688,0.000000,0.048444,1.535793,0.000000
580.032585,1.902231,0.000000,0.048528,1.536642,0.000000
579.995054,1.884427,0.000000,0.049114,1.530546,0.000000
579.930831,1.513621,0.000000,0.061224,1.392759,0.000000
579.610082,1.533022,0.000000,0.060822,1.401931,0.000000
579.508544,1.534580,0.000000,0.060947,1.403637,0.000000
579.452362,1.534568,0.000000,0.060963,1.403730,0.000000
579.447590,1.534537,0.000000,0.060966,1.403731,0.000000
579.446940,1.534533,0.000000,0.060966,1.403731,0.000000
579.446875,1.534533,0.000000,0.060966,1.403731,0.000000
579.446868,1.534533,0.000000,0.060966,1.403731,0.000000
579.446868,1.534533,0.000000,0.060966,1.403731,0.000000
579.446868,1.510501,0.000000,0.061885,1.394845,0.000000
579.446695,1.511282,0.000000,0.061877,1.395275,0.000000
579.439745,1.511692,0.000000,0.061875,1.395507,0.000000
579.435787,1.511857,0.000000,0.061873,1.395599,0.000000
579.434204,1.482074,0.000000,0.063127,1.384722,0.000000
579.412957,1.482355,0.000000,0.063124,1.384880,0.000000
579.410386,1.484106,0.000000,0.063055,1.385563,0.000000
579.409822,1.482327,0.000000,0.063128,1.384882,0.000000
579.409680,1.478142,0.000000,0.063336,1.383482,0.000000
579.398626,1.478142,0.000000,0.063339,1.383500,0.000000
579.397720,1.478142,0.000000,0.063340,1.383504,0.000000
579.397497,1.478142,0.000000,0.063340,1.383504,0.000000
579.397475,1.477467,0.000000,0.063371,1.383264,0.000000
579.396420,1.458067,0.000000,0.064195,1.375797,0.000000
579.391148,1.453279,0.000000,0.064438,1.374128,0.000000
579.379418,1.453286,0.000000,0.064438,1.374133,0.000000
579.379308,1.453287,0.000000,0.064438,1.374133,0.000000
579.379293,1.453287,0.000000,0.064438,1.374133,0.000000
579.379291,1.453287,0.000000,0.064438,1.374133,0.000000
579.379291,1.453287,0.000000,0.064438,1.374133,0.000000
579.379291,1.453287,0.000000,0.064438,1.374133,0.000000
579.379291,1.453287,0.000000,0.064438,1.374133,0.000000
579.379291,1.453287,0.000000,0.064438,1.374133,0.000000
579.379291,1.453287,0.000000,0.064438,1.374133,0.000000
579.379291,1.451315,0.000000,0.064523,1.373361,0.000000
579.378865,1.451324,0.000000,0.064523,1.373366,0.000000
579.378765,1.451325,0.000000,0.064523,1.373366,0.000000
579.378756,1.451325,0.000000,0.064523,1.373366,0.000000
579.378755,1.451325,0.000000,0.064523,1.373366,0.000000
579.378754,1.451325,0.000000,0.064523,1.373366,0.000000
579.378754,1.451325,0.000000,0.064523,1.373366,0.000000
579.378754,1.451325,0.000000,0.064523,1.373366,0.000000
579.378754,1.451325,0.000000,0.064523,1.373366,0.000000
579.378754,1.451325,0.000000,0.064523,1.373366,0.000000
579.37875Kpx,Kpa,Kda,MaxAngle, Overshoot, J
Kpx,Kpa,Kda,MaxAngle, Overshoot, J
95.766624,0.000000,0.000000,0.175034,0.000000,166.493325
0.000000,0.000000,0.000745,0.176542,0.000000,166.492900
41.239999,0.000000,0.000097,0.354088,0.000000,166.310692
5.812605,0.000000,0.000785,0.363756,0.000000,166.179890
3.494274,0.000000,0.001684,0.392498,0.000000,166.041806
10.120941,0.000000,0.002356,1.124359,0.000000,165.660022
7.337975,0.000000,0.002248,0.791995,0.000000,165.629622
10.258426,0.000000,0.002556,1.215898,0.000000,165.613522
5.376297,0.000000,0.003551,0.832121,0.000000,165.289615
9.472167,0.000000,0.004665,1.759057,0.000000,164.935384
8.110224,0.000000,0.004412,1.450095,0.000000,164.902071
5.747202,0.000000,0.006454,1.412725,0.000000,164.308359
10.256396,0.000000,0.007538,2.621205,0.000000,164.191310
7.412846,0.000000,0.011716,2.531946,0.000000,162.525877
4.623474,0.000000,0.015123,2.018064,0.000000,161.998824
4.145359,0.000000,0.017558,1.974619,0.000000,161.637294
4.863423,0.000000,0.017713,2.190164,0.000000,161.335470
2.742133,0.000000,0.029217,1.755096,0.000000,160.592454
2.419022,0.000000,0.033087,1.668332,0.000000,160.430368
1.503342,0.000000,0.048970,1.318316,0.000000,160.275281
2.120175,0.000000,0.042654,1.603991,0.000000,159.722705
1.701205,0.000000,0.051101,1.438144,0.000000,159.666199
1.717205,0.000000,0.052026,1.451455,0.000000,159.547333
1.344000,0.000000,0.066078,1.313370,0.000000,159.370472
1.435464,0.000000,0.065023,1.366073,0.000000,159.180817
1.407290,0.000000,0.066323,1.354850,0.000000,159.166578
1.404472,0.000000,0.066453,1.353694,0.000000,159.165388
1.404191,0.000000,0.066466,1.353578,0.000000,159.165271
1.320124,0.000000,0.070655,1.317662,0.000000,159.128847
1.319816,0.000000,0.070779,1.317972,0.000000,159.121480
1.319755,0.000000,0.070804,1.318034,0.000000,159.120008
1.319730,0.000000,0.070814,1.318058,0.000000,159.119419
1.081405,0.000000,0.085614,1.221597,0.000000,159.081585
0.915794,0.000000,0.109744,1.195798,0.000000,158.334024
0.834765,0.000000,0.124159,1.149772,0.000000,157.916925
0.777937,0.000000,0.129747,1.104130,0.000000,157.828108
0.812670,0.000000,0.130920,1.138337,0.000000,157.563024
0.808485,0.000000,0.129994,1.132923,0.000000,157.542551
0.814799,0.000000,0.130066,1.138862,0.000000,157.481042
0.815431,0.000000,0.130073,1.139456,0.000000,157.474893
0.815494,0.000000,0.130074,1.139515,0.000000,157.474278
0.815500,0.000000,0.130074,1.139521,0.000000,157.474217
0.815501,0.000000,0.130074,1.139522,0.000000,157.474210
0.815501,0.000000,0.130074,1.139522,0.000000,157.474210
0.815501,0.000000,0.130074,1.139522,0.000000,157.474210
0.813362,0.000000,0.130310,1.137819,0.000000,157.474132
0.814263,0.000000,0.130292,1.138635,0.000000,157.467681
0.816200,0.000000,0.130320,1.140543,0.000000,157.449978
0.816278,0.000000,0.130332,1.140645,0.000000,157.448621
0.816575,0.000000,0.130321,1.140904,0.000000,157.446770
0.816679,0.000000,0.130336,1.141036,0.000000,157.445413
0.816685,0.000000,0.130336,1.141042,0.000000,157.445369
0.816685,0.000000,0.130336,1.141042,0.000000,157.445351
0.816685,0.000000,0.130336,1.141042,0.000000,157.445349
0.816686,0.000000,0.130336,1.141042,0.000000,157.445349
0.816668,0.000000,0.130333,1.141019,0.000000,157.445331
0.816676,0.000000,0.130335,1.141031,0.000000,157.445330
0.816673,0.000000,0.130333,1.141024,0.000000,157.445271
0.816674,0.000000,0.130333,1.141025,0.000000,157.445265
0.816674,0.000000,0.130333,1.141025,0.000000,157.445264
0.816674,0.000000,0.130333,1.141025,0.000000,157.445264
0.816675,0.000000,0.130334,1.141029,0.000000,157.445248
0.816675,0.000000,0.130334,1.141028,0.000000,157.445245
0.816675,0.000000,0.130334,1.141028,0.000000,157.445242
0.816676,0.000000,0.130334,1.141029,0.000000,157.445231
0.816678,0.000000,0.130334,1.141031,0.000000,157.445213
0.816677,0.000000,0.130334,1.141029,0.000000,157.445204
0.816679,0.000000,0.130334,1.141032,0.000000,157.445200
0.816678,0.000000,0.130334,1.141030,0.000000,157.445199
0.816678,0.000000,0.130334,1.141030,0.000000,157.445196
0.816679,0.000000,0.130334,1.141031,0.000000,157.445193
0.816679,0.000000,0.130334,1.141031,0.000000,157.445193
Kpx,Kpa,Kda,MaxAngle, Overshoot, J
Kpx,Kpa,Kda,MaxAngle, Overshoot, J
95.766624,0.000000,0.000000,0.175034,0.000000,3366.493325
0.000000,0.000000,0.000745,0.176542,0.000000,3366.483384
53.441926,0.000000,0.000589,1.704547,0.000000,3311.686864
29.791970,0.000000,0.001236,1.879166,0.000000,3299.721167
42.412664,0.000000,0.001020,2.245932,0.000000,3290.787278
32.617036,0.000000,0.001951,3.052295,0.000000,3255.301999
51.725819,0.000000,0.001663,3.816085,0.000000,3236.899422
41.643709,0.000000,0.002034,3.666564,0.000000,3235.285522
35.713446,0.000000,0.002351,3.554487,0.000000,3234.122164
38.733948,0.000000,0.002249,3.670770,0.000000,3231.957907
3.494521,0.453425,0.003164,3.529613,0.051394,23.313611
6.757514,0.462550,0.002972,6.619149,7.341190,23.146725
5.732201,0.460242,0.003143,5.710406,4.613417,21.709664
5.159696,0.453564,0.002349,5.186137,2.862607,21.404993
4.936369,0.462832,0.002703,4.993479,2.783442,21.353972
4.120177,0.568312,0.003345,4.486151,5.651984,21.312781
4.345748,0.556425,0.003306,4.689493,5.870474,21.277214
4.248510,0.551280,0.005902,4.459704,5.163129,21.224269
4.221149,0.554947,0.006200,4.425117,5.247358,21.222587
