Kpx,Kpa,Kda,MaxAngle, Overshoot, J
0.000000,0.000000,0.000000,0.175034,0.000000,3560.525819
2.723409,0.000000,0.016460,1.068085,0.000000,3490.243824
3.907677,0.000000,0.017888,1.568924,0.000000,3454.750359
4.903564,0.000000,0.014452,1.691681,0.000000,3453.743461
0.166121,0.966338,0.056624,0.361628,0.000000,1275.363602
0.290107,1.350459,0.017394,0.415098,0.000000,337.441649
1.239333,0.487572,0.000000,1.325894,0.000000,168.041779
0.954220,0.879453,0.002945,1.219488,0.000000,114.087400
1.579204,0.685350,0.000000,1.914355,0.076143,89.391660
16.660224,0.092383,0.000000,7.472563,0.000000,65.489791
2.999436,0.737602,0.000000,3.633954,8.796511,59.872042
10.825885,0.186467,0.000869,7.203647,0.005767,51.025259
5.815811,0.447383,0.000000,5.809516,4.213912,45.768459
8.348135,0.415682,0.000857,7.827168,7.620198,40.489579
8.401195,0.388386,0.000407,7.831373,5.680601,40.120416
8.668943,0.364699,0.000956,7.851993,4.369155,39.678425
8.684087,0.365630,0.000913,7.877336,4.466038,39.653128
8.753013,0.364646,0.000972,7.920467,4.504595,39.550030
8.784490,0.363426,0.000966,7.941479,4.466772,39.505237
8.794531,0.363205,0.000971,7.947845,4.466675,39.490634
8.815224,0.362842,0.000948,7.967436,4.475166,39.460771
8.836687,0.361073,0.001038,7.959844,4.373763,39.431784
8.876916,0.358760,0.001028,7.981978,4.268651,39.378552
8.872181,0.361990,0.001027,7.997090,4.499315,39.377377
8.888178,0.356286,0.001038,7.975064,4.103550,39.371888
8.875180,0.362627,0.001050,7.999195,4.549530,39.371882
8.910812,0.355384,0.001037,7.988759,4.073178,39.341739
8.933580,0.353376,0.001061,7.991463,3.959752,39.317989
8.940510,0.352498,0.001110,7.983189,3.903101,39.312401
8.944425,0.352979,0.001080,7.994732,3.946426,39.303469
8.999160,0.345667,0.001136,7.984244,3.498374,39.277921
9.063674,0.338153,0.001164,7.979449,3.064189,39.270125
8.976972,0.350661,0.001128,7.999060,3.824414,39.268183
9.074000,0.337466,0.001398,7.943865,3.016512,39.260340
9.049762,0.341025,0.001136,7.993795,3.246219,39.251248
9.155687,0.330844,0.001617,7.924890,2.669521,39.236626
9.100214,0.339632,0.001313,7.996183,3.208810,39.182899
9.082144,0.345017,0.001570,7.972421,3.544657,39.146910
9.059585,0.353533,0.001693,7.986852,4.128152,39.119979
9.193728,0.334114,0.001547,7.992763,2.939212,39.107825
9.253290,0.333072,0.001834,7.983254,2.929326,39.022898
9.271433,0.332638,0.001819,7.997137,2.924406,38.999820
9.285024,0.331532,0.001827,7.998609,2.865424,38.995825
9.268320,0.333224,0.001845,7.994332,2.959188,38.995162
9.256404,0.335038,0.001868,7.993633,3.067639,38.986323
9.259126,0.335149,0.001867,7.996815,3.079100,38.980220
9.255178,0.335737,0.001912,7.990000,3.111844,38.977738
9.261964,0.335937,0.001917,7.995991,3.134440,38.963795
9.277791,0.334447,0.001925,7.996643,3.051585,38.959746
9.282560,0.334343,0.001927,7.999383,3.050644,38.953485
9.284874,0.334261,0.001933,7.999600,3.047665,38.950892
9.340498,0.329395,0.001988,7.999014,2.780780,38.939705
9.348911,0.328726,0.001994,7.999755,2.745296,38.937976
9.348987,0.328730,0.001993,7.999888,2.745694,38.937769
9.340203,0.329540,0.001988,7.999862,2.790414,38.937561
9.340199,0.329543,0.001988,7.999888,2.790638,38.937508
9.340199,0.329544,0.001988,7.999890,2.790660,38.937503
9.340199,0.329544,0.001988,7.999891,2.790663,38.937502
9.345114,0.329125,0.001996,7.999271,2.767648,38.936899
9.344146,0.329217,0.001994,7.999494,2.772834,38.936827
9.344608,0.329192,0.001993,7.999986,2.771813,38.936523
9.344834,0.329184,0.001995,7.999744,2.771451,38.936273
9.344491,0.329221,0.001994,7.999873,2.773642,38.936152
9.344960,0.329183,0.001995,7.999838,2.771566,38.936072
9.345081,0.329179,0.001995,7.999850,2.771409,38.935946
9.345187,0.329179,0.001995,7.999907,2.771567,38.935757
9.345187,0.329179,0.001995,7.999907,2.771569,38.935756
9.345207,0.329180,0.001995,7.999940,2.771650,38.935709
9.345216,0.329180,0.001995,7.999939,2.771646,38.935697
9.345218,0.329180,0.001995,7.999952,2.771652,38.935694
9.345214,0.329181,0.001995,7.999954,2.771732,38.935677
9.345240,0.329179,0.001995,7.999958,2.771643,38.935666
9.345279,0.329179,0.001995,7.999993,2.771684,38.935603
9.345286,0.329179,0.001995,7.999998,2.771682,38.935595
9.345287,0.329179,0.001995,7.999998,2.771678,38.935595
9.345286,0.329179,0.001995,7.999998,2.771684,38.935593
9.345289,0.329179,0.001995,8.000000,2.771684,38.935591
9.345291,0.329179,0.001995,7.999999,2.771693,38.935585
9.345292,0.329179,0.001995,8.000000,2.771693,38.935582
9.345293,0.329179,0.001995,8.000000,2.771694,38.935582
9.345293,0.329179,0.001995,8.000000,2.771694,38.935582
9.345293,0.329179,0.001995,8.000000,2.771694,38.935582
9.345293,0.329179,0.001995,8.000000,2.771694,38.935582
9.345293,0.329179,0.001995,8.000000,2.771694,38.935582
9.345293,0.329179,0.001995,8.000000,2.771694,38.935582
9.345293,0.329179,0.001995,8.000000,2.771694,38.935582
9.345293,0.329179,0.001995,8.000000,2.771694,38.935582
9.345293,0.329179,0.001995,8.000000,2.771694,38.935582
9.345295,0.329179,0.001995,8.000000,2.771681,38.935582
